Day Monday
CRN    Dept  Coursenum  Class Title                     Start Time  End Time  Room
65142  ARCH  6870-01    SONICS_RESEARCH_LAB_1           10:00AM     11:20AM   GREENE_204 
61321  ARTS  2020-01    MUSIC_AND_TECHNOLOGY_1          10:00AM     11:50AM   WEST_118   
65071  ARTS  4260-01    LIFE_DRAWING                    10:00AM     11:50AM   WEST_411   
65072  ARTS  4260-02    LIFE_DRAWING                    10:00AM     11:50AM   WEST_411   
65073  ARTS  6260-01    LIFE_DRAWING                    10:00AM     11:50AM   WEST_411   
61091  BCBP  4760-01    MOLECULAR_BIOCHEM_I             10:00AM     11:50AM   DARRIN_330 
62266  BCBP  4870-01    PROTEIN_STRUCTURE_DETERMIN.     10:00AM     11:50AM   J-ROWL_2C13
62267  BCBP  6870-01    PROTEIN_STRUCTURE_DETERMIN.     10:00AM     11:50AM   J-ROWL_2C13
62268  BIOL  1010-05    INTRODUCTION_TO_BIOLOGY         10:00AM     11:50AM   TROY_2012  
61380  BIOL  2500-01    GENETICS_&_EVOLUTION            10:00AM     11:50AM   ACADMY_AUD 
61090  BIOL  4760-01    MOLECULAR_BIOCHEMISTRY_I        10:00AM     11:50AM   DARRIN_330 
65091  BIOL  6960-01    CURR_TOPICS-CYTOSKELETAL_RSCH   10:00AM     11:50AM   LALLY_02   
63726  BMED  4200-01    MODELING_OF_BIOMEDICAL_SYSTEMS  10:00AM     11:50AM   SAGE_3101  
64308  BMED  4540-01    BIOMECHANICS_II                 10:00AM     11:50AM   EATON_215  
64571  CHEM  1600-02    MATERIALS_SCIENCE               10:00AM     11:50AM   WALKER_6113
61102  CHEM  4760-01    MOLECULAR_BIOCHEM_I             10:00AM     11:50AM   DARRIN_330 
64319  CHEM  4962-01    BIOCATALYSIS                    10:00AM     11:20AM   J-ROWL_2C25
65194  CHEM  6750-01    BIOCATALYSIS_FUNDAMENTAL_APPLI  10:00AM     11:20AM   J-ROWL_2C25
63477  CHME  4430-01    INTRO_BIOCHEMICAL_ENGR          10:00AM     11:50AM   TROY_2015  
62834  CHME  4962-01    MOLECULAR_SEPARATIONS           10:00AM     11:50AM   RCKTTS_208 
